glottocode,Language,Family,Lat,ULong,Grades,Places,Pitch,Closure,Geminate,ArchiPhonemes,Qualities,Ancillary,TotalVowels,Diphthongs,TotalTones,ContrastiveStress,InitialStress,FinalStress,latitude,longitude
port1283,Portuguese,Indo-European,39.91,-8.1,2,3,0,0,1,17,5,0,5,15,0,No,2,1,39.91,-8.1
puqu1242,Puquina,Puquina(isolate),-15.9,290.04,2,5,0,0,0,19,4,1,10,,,,2,2,-15.8992,-69.9611
pure1242,Purepecha,Tarascan(isolate),19.5,258.33,2,4,0,0,0,18,6,0,6,0,0,Yes,2,0,19.2467,-101.631
qawa1238,Kawesqar(Qawasqar),Kawesqar,-49.3,310.7,2,5,0,1,0,18,6,0,5,,,,3,1,-49.303195,-74.707536
quap1242,Quapaw,Siouan,34.15,325.85,5,4,0,1,,,4,2,11,,0,No,2,0,34.15,-92
rama1270,Rama,Chibchan,11.5,348.5,2,4,0,0,0,17,3,1,6,0,2,No,2,1,11.5007,-83.8571
rapa1244,Rapanui,Austronesian,-27,251,1,3,0,0,0,10,5,1,10,0,0,No,1,0,-27.113,-109.342
rayo1235,ChiapasZoque,Mixe-Zoque,17.3,342.7,1,3,0,0,0,11,6,0,6,0,0,No,2,1,17.2953,-93.1006
roma1327,Romanian(Std.),Indo-European,46,25,2,4,0,0,0,22,7,0,7,,0,Yes,3,2,46.3913,24.2256
russ1263,Russian,Indo-European,56,38,2,3,1,0,0,20,5,0,5,0,0,Yes,3,3,59,50
rutu1240,Rutul:Luchek,Nakh-Daghestanian(EastCaucasian),41.62,47.32,3,6,3,1,0,30,6,1,9,,4,Yes,1,2,41.6187,47.3244
sahu1245,Sahu,WestPapuan,1.01,127.49,3,4,0,1,0,24,5,0,5,0,0,Yes,1,0,1.00742,127.493
sala1264,Salar,Turkic,35.55,102.82,2,6,0,0,0,27,8,1,8,0,0,No,1,2,35.5457,102.819
sand1273,Sandawe,Sandawe(isolate),-5.27,35.48,9,4,1,2,0,45,5,1,10,0,3,,1,0,-5.26918,35.4808
sanf1258,Huave,Huave(isolate),16.23,265.37,2,5,1,1,0,19,5,1,10,0,0,No,1,1,16.2836,-94.5738
sanm1295,Mixtec(Chalcatongo),Otomanguean,17.05,262.42,2,5,1,1,0,20,6,1,12,0,3,No,1,0,17.046881,-97.622482
sanu1240,Sanuma,Yanomaman,4.5,295.33,1,3,0,0,0,11,7,1,13,,,No,1,0,4.5,-64.5
seek1238,Seenku,Mande,11.13,-4.58,2,5,0,1,,20,9,2,24,20,4,,2,1,11.1285,-4.58203
selk1253,Selkup(Northern),Uralic,65,82,1,5,0,0,0,16,13,1,25,0,0,No,1,1,59.9409,82.3004
seri1257,Seri,Seri(isolate),29,248,1,3,0,0,0,16,4,1,8,,0,Yes,4,2,28.9877,-112.384
shek1245,Sheko,Dizoid,7.05,35.28,3,5,0,1,0,28,6,1,11,0,4,,2,2,7.05022,35.2826
ship1254,Shipibo-Konibo,Pano-Tacanan,-7.5,285,1,4,0,0,0,15,4,0,4,0,,Yes,1,1,-7.17105,-74.8219
shon1251,Shona,Atlantic-Congo,-17.2,31,5,5,1,1,,55,5,0,5,0,2,,1,0,-17.20849,29.75725
shos1248,TümpisaShoshone,Uto-Aztecan,37,243,1,4,1,0,1,14,6,1,12,1,0,No,1,1,41,-116
shua1257,Shuar(Jivaro),Chicham,-2.5,282,1,4,0,0,0,16,4,1,8,0,0,,1,1,-3.45136,-78.1892
sida1246,Sidaama,Cushitic,6.67,38.5,3,4,0,1,0,25,5,1,10,0,0,Yes,1,0,6.74176,38.3729
siks1238,Blackfoot,Algic,50,310,2,3,0,0,1,12,3,1,6,3,1,Yes,1,0,49.0669,-113.109
sire1246,Sirenik,Eskimo-Aleut,64.5,173.9,1,5,0,0,0,20,4,0,4,0,0,,2,1,64.5192,-173.925
siwa1245,Motuna,SouthBougainville,-6.62,155.42,1,3,0,0,0,,5,0,5,0,0,No,1,1,-6.6429,155.452
siwi1239,Siwi,Berber,29.2,25.52,3,5,1,0,1,47,6,0,6,,0,No,2,2,29.200415,25.519627
skol1241,SkoltSaami,Uralic,69.38,29.04,5,4,0,0,1,62,9,1,18,8,0,No,1,2,68.8326,29.7204
slov1268,Slovene,Indo-European,46,15,2,4,0,0,0,21,7,1,13,0,2,Yes,3,2,46.2543,14.7766
soch1239,SochiapamChinantec,Otomanguean,17.8,342.2,1,3,0,0,0,18,7,1,14,21,3,No,2,1,17.7985,-96.6079
soma1255,Somali,Cushitic,3,45,2,7,0,0,0,22,10,1,20,1,1,No,1,1,4.778704,45.152856
soni1259,Soninke,Mande,15,-10.5,2,5,0,0,0,19,5,1,10,0,2,No,1,0,13.1273,-11.7178
sout1528,BCS(Standard),Indo-European,44,19,2,4,0,0,0,25,5,1,10,0,2,Yes,3,3,44.15,18.81
sout2674,SouthernSIndo-EuropeanrraMiwok,Utian,37.5,240,1,4,0,0,1,14,6,1,12,0,0,No,1,1,62.8801,13.7006
sout2949,Kiwai,Trans-Fly,-8,143.5,2,3,0,0,0,11,5,0,5,3,,,1,0,-8.64889,143.244
sout2985,SouthSaami,Uralic,62.35,11.24,2,4,0,0,1,20,9,1,13,10,0,No,3,2,38.2363,-120.507
sout2994,Nambikwara,Nambikwara,-13,301,2,3,0,0,0,14,5,2,16,17,2,No,2,2,-14.3707,-59.5187
sout3261,Icari,Nakh-Daghestanian(EastCaucasian),41.98,47.57,4,5,1,1,1,42,4,2,10,,,Yes,1,2,41.977226,47.565486
sout3261,Tanty,Nakh-Daghestanian(EastCaucasian),41.98,47.57,4,5,1,1,1,56,4,1,7,0,0,Yes,1,2,41.977226,47.565486
stan1288,Spanish,Indo-European,40,-4,2,4,0,0,0,18,5,0,5,15,0,Yes,2,2,40.4414,-1.11788
stan1295,German,Indo-European,52,10,2,3,0,0,0,18,14,0,14,4,0,No,3,4,48.649,12.4676
suab1238,Inanwatan/Suabo,Inanwatan,-2.08,132.08,2,3,0,0,0,11,5,0,5,0,0,Yes,1,1,-2.07971,132.157
supy1237,Supyire,Atlantic-Congo,11.63,-5.88,2,4,1,0,,22,7,1,12,0,3,Yes,1,0,11.632,-5.87709
svan1243,Svan,Kartvelian,43,42.5,3,4,0,1,0,30,9,1,18,,0,No,2,4,42.9134,42.5915
swed1254,Swedish,Indo-European,60,15,2,3,0,0,0,18,9,1,18,0,2,Yes,3,5,59.800634,17.389526
taba1259,Tabasaran,Nakh-Daghestanian(EastCaucasian),42.02,47.84,4,5,1,1,0,41,5,2,12,,2,Yes,1,2,42.0198,47.8379
taga1270,Tagalog,Austronesian,15,121,2,3,0,0,0,22,5,1,10,0,0,No,2,1,14.06,121.747
take1257,Takelma,Takelma(isolate),42.42,317.58,3,4,1,1,0,22,6,1,12,0,2,Yes,2,3,42.423,-123.452
tama1365,Tamashek,Berber,16.76,-3.01,3,5,0,0,1,23,7,0,7,,0,Yes,1,2,14.2038,-2.41269
tauy1241,Tauya,NuclearTNG,-5.75,145.33,1,3,1,0,0,15,5,0,5,,0,No,1,1,-5.74255,145.366
tawa1275,Tawala,Austronesian,-10.33,150.67,2,3,1,0,0,19,5,0,5,0,0,No,1,0,-10.3115,150.644
thai1261,Thai,Tai-Kadai,16,101,3,4,0,0,0,20,9,1,18,6,5,No,2,1,14.192,100.671
thom1243,Thompson,Salishan,50.17,238.25,2,5,2,1,0,42,4,1,8,,0,,2,6,50.1668,-120.193
tibe1272,Tibetan(Lhasa),Sino-Tibetan,29.5,91,2,5,1,0,0,25,8,2,24,0,1,No,1,1,28.3681,90.1872
timu1245,Timucua,Timucua(isolate),30.3,329.7,1,4,1,0,0,,5,1,10,,,,1,0,30.3027,-82.3132
tind1238,Tindi:Tindi,Nakh-Daghestanian(EastCaucasian),42.45,46.22,3,7,1,1,0,41,5,2,18,,,No,1,1,42.3316,45.9227
tiwi1244,Tiwi,Tiwi(isolate),-11.5,131,1,4,0,0,0,14,4,0,4,0,0,No,2,0,-11.6308,130.949
tlah1239,Mixe(Ayutla/Tlahuitoltepec),Mixe-Zoque,17.06,342.94,1,3,0,0,0,12,7,3,28,0,0,No,2,4,16.9634,-96.1186
tlin1245,Tlingit,AET,59.44,300.56,3,6,2,1,0,46,4,1,8,0,2,,2,2,59.4447,-135.29
toho1245,TohonoO'odham,Uto-Aztecan,31.8,328.2,2,4,0,0,0,20,5,0,5,0,0,No,2,1,31.7973,-111.995
tokp1240,TokPisin,creole,-9.5,147.17,2,3,0,0,0,,5,0,5,3,0,No,3,1,-9.41971,147.303
tonk1249,Tonkawa,Tonkawa(isolate),30.25,263.25,1,4,1,0,0,15,5,1,10,,0,No,2,2,30.25,-96.75
tosk1239,Albanian,Indo-European,41,20,2,4,0,0,0,29,7,0,7,0,0,No,4,3,41,20
trum1247,Trumaí,Trumaí(isolate),-12,307,2,4,0,1,0,23,6,0,6,0,,No,1,1,-11.8119,-53.5717
tsak1249,Tsakhur,Nakh-Daghestanian(EastCaucasian),41.67,47.17,4,5,2,1,1,36,6,1,11,,2,Yes,1,2,41.5916,46.8858
tuni1252,Tunica,Tunica(isolate),32.67,269,1,4,0,0,0,14,7,0,7,0,0,Yes,1,2,30.9888,-92.5403
tuvi1240,Tuva,Turkic,52,95,2,3,0,0,0,20,8,1,16,0,1,No,1,2,51.7,94.36667
tzut1248,Tzutujil,Mayan,14.67,345.33,2,5,0,1,0,22,5,1,12,2,0,No,1,2,14.6351,-91.2012
udih1248,Udihe,Tungusic,47.67,136.25,2,4,0,0,0,17,8,2,17,1,0,No,1,0,46.63086,135.67762
udii1243,Udi,Nakh-Daghestanian(EastCaucasian),41.08,47.27,3,5,,1,0,32,9,2,19,,,No,1,2,40.9,47.7236
udmu1245,Udmurt,Uralic,57.5,52.5,2,5,0,0,0,26,7,0,7,2,0,No,1,1,56.12921,52.63548
uigh1240,Uighur,Turkic,43.6,98,2,4,0,0,0,16,7,1,15,0,0,,1,1,43.88,87.38
umbi1243,Umpithamu,Pama-Nyungan,-13.92,143.33,1,5,0,0,0,16,5,1,10,,0,No,1,1,-13.921,143.328
uppe1437,UpperTanana,AET,62.69,297.31,3,6,0,1,0,34,7,2,19,2,3,,2,2,62.6867,-141.37
urar1246,Urarina,Urarina(isolate),-4,356,1,4,2,0,0,14,5,2,20,5,2,No,1,0,-4.44006,-75.4211
vani1248,Vanimo(Dumo),Macro-Skou,-2.67,141.3,2,2,0,0,0,12,8,1,16,,3,No,1,0,-2.68501,141.258
viet1252,VIndo-Europeantnamese,Austroasiatic,10.5,106.5,2,5,0,0,0,22,12,0,12,,6,No,3,2,20.681188,105.774071
wand1278,Wandala,Chadic,11.5,13.75,4,6,0,3,0,42,3,0,3,0,2,No,3,1,11.3169,13.8996
wapp1239,Wappo,Yuki-Wappo,38.5,237.5,3,5,0,1,0,29,5,0,5,10,0,No,1,1,38.25,-122.5
wara1303,Warao,Warao(isolate),9.33,298.33,1,3,1,0,0,11,5,0,5,0,,No,1,0,7.50851,-59.3528
wari1268,Wari,Chapakuran,-11.33,295,1,4,1,0,0,13,6,0,6,7,0,No,1,1,-10.69948,-64.56152
warl1254,Warlpiri,Pama-Nyungan,-20,132.33,1,5,0,0,0,18,3,1,6,,0,No,1,1,-20.1008,131.05
wasc1239,Wishram,Chinookan,45.5,237.5,3,6,1,1,0,37,4,0,4,0,0,No,2,3,45.0278,-121.509
wash1253,Washo,Washo(isolate),39.25,240,3,3,0,1,0,31,6,1,12,0,0,Yes,1,1,38.8184,-119.64
west2369,Persian,Indo-European,34,52,2,4,0,0,0,25,6,0,6,,0,No,1,2,32.9,53.3
