glottocode,Language,Family,Lat,ULong,Grades,Places,Pitch,Closure,Geminate,ArchiPhonemes,Qualities,Ancillary,TotalVowels,Diphthongs,TotalTones,ContrastiveStress,InitialStress,FinalStress,latitude,longitude
buru1296,Burushaski,Burushaski(isolate),36.22,74.82,3,6,0,0,0,36,5,1,10,0,0,Yes,2,2,36.2161,74.8236
cadd1256,Caddo,Caddoan,33.33,326.67,3,4,0,1,0,22,3,1,6,0,1,No,1,1,33.33,-93.5
cane1242,Canela-Krahô,Macro-Ge,-7,315,2,3,0,0,0,12,10,2,27,0,0,No,2,1,-6.10712,-45.1299
carn1240,Car,Austroasiatic,9,93,1,4,0,0,0,17,10,2,35,0,0,No,1,1,9.18853,92.7671
cash1251,Kashibo-Kakataibo,Pano-Tacanan,-8.7,284.5,1,4,1,0,0,15,6,0,6,0,1,No,1,1,-8.70232,-75.4206
cata1286,Catawba,Siouan,34.97,325.03,2,4,0,0,0,15,4,2,12,0,0,Yes,1,1,34.9685,-80.8857
cavi1250,Cavineña,Pano-Tacanan,-13.33,346.67,2,4,1,0,0,19,4,0,4,0,0,No,1,0,-13.3544,-66.6277
cayu1262,Cayuvava,Cayuvava(isolate),-13.5,294.5,2,4,0,0,0,17,6,1,12,,0,Yes,1,0,-13.2482,-65.4822
cent2127,CentralAlaskaYup'ik,Eskimo-Aleut,60.31,299.69,1,5,0,0,1,27,4,1,7,0,0,Yes,1,1,60.3062,-161.486
cent2128,Yup’ik(Siberian),Eskimo-Aleut,64,172,1,4,1,0,0,32,4,1,7,0,0,No,1,1,63.4308,-170.272
cent2142,Aymara,Aymaran,-16.5,291.85,3,5,0,0,0,26,3,0,3,0,0,No,1,1,-17,-68.5
cent2194,Tamazight(AytNdhir),Berber,30,5,2,4,2,0,0,30,3,0,3,0,0,No,2,2,32.7415,-2.40872
cham1309,Chamalal,Nakh-Daghestanian(EastCaucasian),42.5,45.99,3,6,0,1,0,39,5,2,12,0,4,No,1,2,42.5024,45.995
cher1273,Cherokee,Iroquoian,35.47,324.53,1,3,1,0,0,13,5,2,12,0,2,Yes,1,1,35.4664,-83.163
chic1270,Chickasaw,Muskogean,34,326,1,4,0,0,1,16,3,2,12,,0,No,1,1,34,-88
chic1272,Chichimec,Otomanguean,21.67,259.5,2,5,0,0,0,20,7,1,14,0,0,Yes,2,2,21.2943,-100.524
chil1280,Chilcotin,AET,51.99,308.01,3,7,2,1,0,47,3,2,6,0,2,No,1,1,51.98952,-123.24458
chim1301,Chimariko,Chimariko(isolate),41,237,3,6,0,1,0,33,5,0,5,0,0,No,2,2,41,-123
chip1262,Chipaya,Uru-Chipaya,-18.75,292.17,3,4,0,1,0,40,5,1,10,,0,No,2,2,-18.73951,-67.89633
chir1284,Chirag,Nakh-Daghestanian(EastCaucasian),41.83,47.43,4,5,2,1,1,35,4,2,8,,,Yes,1,2,41.869481,47.41111
chit1248,Chitimacha,Chitimacha(isolate),30.34,329.66,2,4,0,1,0,16,5,1,10,0,0,No,1,4,30.3386,-90.9123
chol1284,Cholon,Cholonan,-8,282.5,2,4,0,0,0,15,5,1,9,0,,,1,1,-9.23129,-75.9621
chuk1273,Chukchi,Chukchi-Kamchatkan,67,170,1,4,0,1,0,13,5,0,5,0,0,No,1,1,68.6436,170.045
chuv1255,Chuvash,Turkic,55.49,47.16,1,4,0,0,0,14,8,0,8,8,0,No,1,2,55.48701,47.16298
coah1252,Coahuiltec,Coahuiltec(isolate),28.26,331.74,2,5,1,1,0,24,5,1,10,0,,,1,2,28.2589,-97.89
coeu1236,Coeurd'Alene,Salishan,47.3,312.7,3,4,1,1,0,40,5,0,5,4,0,Yes,3,4,47.2958,-116.715
coos1249,HanisCoos,Coosan,43.44,316.56,3,5,1,1,0,36,5,1,9,4,,,2,2,43.4413,-124.16
cree1270,Creek,Muskogean,31,329,1,4,0,0,1,13,3,2,12,3,2,No,1,2,31,-87.5
cupe1243,Cupeño,Uto-Aztecan,33.17,243.5,1,5,1,0,0,24,6,1,12,0,0,Yes,1,1,33.3148,-116.515
cusc1236,CuzcoQuechua,Quechuan,-14.5,289,3,5,0,1,0,26,5,0,5,0,0,No,1,1,-14.0853,-71.7663
dagi1241,Dagik,NarrowTalodi,10.58,29.94,2,4,0,0,1,16,8,0,8,0,2,,1,3,10.583,29.9404
daha1245,Dahalo,Cushitic,-2.33,40.5,8,5,1,3,1,64,5,1,10,,2,No,1,1,-2.1843,40.37
dard1243,Eref(dial.ofDarDajuDaju),Daju,12.12,18.8,4,4,0,2,0,29,5,1,10,,2,,1,1,12.1187,18.7996
darg1241,Akusha/StdDargwa,Nakh-Daghestanian(EastCaucasian),42.27,47.34,3,5,0,1,0,36,5,0,5,,,,1,2,42.4257,47.4388
dido1241,Tsez,Nakh-Daghestanian(EastCaucasian),42.19,45.96,3,6,2,1,1,28,6,0,6,,,No,1,2,42.2646,45.8096
dier1241,Diyari,Pama-Nyungan,-28,139,2,6,0,0,0,22,3,0,3,0,0,No,1,0,-28.1667,138
djap1238,Djapu,Pama-Nyungan,-12.88,136.42,1,6,0,0,0,19,3,1,6,0,0,No,1,2,-12.879764,136.417978
djin1251,Jingulu(Djingili),Mirndi,-17.75,134,1,5,0,0,0,18,3,1,4,0,0,No,1,2,-17.165,133.659
dyir1250,Dyirbal,Pama-Nyungan,-17.83,145.58,1,4,0,0,0,13,3,0,3,0,0,No,1,1,-17.4516,145.544
east2545,Pomo(Eastern),Pomoan,39,237.33,4,6,1,1,0,38,5,1,10,,0,Yes,1,2,38.5647,-122.586
east2652,Oromo(Harar),Cushitic,9,42,3,4,0,1,1,24,5,1,10,0,2,No,1,1,8.67428,41.4395
egyp1253,Arabic(Egyptian),Semitic,30,31,2,3,1,0,0,21,3,1,6,,0,No,1,2,31,31
embe1262,Embera(Chamidial.),Chocoan,4.88,283.93,3,4,0,1,0,15,6,1,12,0,0,Yes,1,1,4.8791,-76.0749
erzy1239,Mordvin(Erzya),Uralic,53,45.5,2,5,0,0,0,27,5,0,5,0,0,No,3,6,52.8548,45.3901
esto1258,Estonian,Uralic,59,26,3,4,0,0,1,17,9,1,9,8,0,No,1,2,58.55,25.82
even1259,Evenki,Tungusic,56,125,2,4,0,0,0,18,6,1,11,0,0,No,1,1,61.972,94.689
fiji1243,Fijian(Boumaa),Austronesian,-18,178,2,3,0,1,0,20,5,1,10,7,0,No,1,0,-18,178.33
finn1318,Finnish,Uralic,62,25,3,3,0,0,1,21,8,1,16,18,0,No,1,1,64.7628,25.5577
fore1265,Enets(Forest),Uralic,68.6,86.5,2,4,0,0,0,21,6,1,12,0,,No,1,2,68.6,86.5
furr1244,Fur,Furan,13.5,25,2,3,0,0,1,17,5,0,5,0,2,,1,1,12.0455,23.6401
gabo1234,GuébIndo-European,Kru,5.96,-5.84,2,5,1,0,,22,10,0,10,0,4,,2,0,5.964761,-5.841819
gand1255,Luganda1,Atlantic-Congo,0.5,32.17,4,4,0,0,0,35,5,1,10,,3,,2,0,0.66884,32.15153
gand1255,Luganda2,Atlantic-Congo,0.5,32.17,2,4,0,1,0,27,5,0,5,,3,,1,0,0.66884,32.15153
gara1269,Garrwa,Garrwan,-17.45,137.72,1,4,0,0,0,14,3,0,3,,0,No,1,1,-17.4504,137.72014
ghod1238,Godoberi,Nakh-Daghestanian(EastCaucasian),42.63,46.11,4,6,0,1,1,43,5,1,10,4,2,Yes,1,1,42.7428,46.2252
gily1242,Nivkh(Gilyak),Nivkh(Gilyak)(isolate),53.33,142,3,5,0,0,0,33,6,0,6,,2,,2,3,52.59,140.681
goon1238,Kuniyanti,Bunuban/Bunaban,-18.33,126.33,1,6,0,0,0,19,3,1,4,0,0,No,1,1,-18.4073,126.351
gras1249,Koiari,Koiarian,-9.5,147.33,2,3,0,0,0,13,5,0,5,0,0,Yes,1,0,-9.51218,147.437
guin1254,Kpelle(Guinea),Mande,7,-10,2,4,1,1,,23,7,1,12,0,2,,1,1,7.93196,-8.98843
gumu1244,Gumuz,Gumuz,11.5,35.83,2,4,0,0,0,31,5,1,10,0,2,,1,2,11.05,35.93
gunw1252,BininjGun-Wok,Gunwingguan,-12.5,133.75,2,5,0,0,1,22,5,0,5,0,0,No,1,3,-12.3398,133.358
hadz1240,Hadza,Hadza(isolate),-3.83,35.05,8,4,1,3,0,54,5,1,7,0,2,,1,1,-3.83115,35.0458
halh1238,Mongolian(Khalkha),Mongolic,47,105,2,4,1,0,0,17,7,1,14,3,0,No,1,3,48.32397,106.28874
hata1243,Hatam,Hatam-Mansim,-1.14,134.04,2,4,0,0,1,22,5,0,5,0,,No,3,1,-1.13531,134.037
haus1257,Hausa,Chadic,12,18,3,4,2,0,0,32,5,1,10,2,3,,1,1,11.1513,8.7804
high1242,Chontal(Highland),Tequistlatec-Jiqaque,16.25,264.25,2,5,0,1,0,18,5,0,5,,0,No,3,2,16.1849,-95.7301
hind1269,Hindi,Indo-European,25,77,4,5,0,0,1,29,10,1,20,0,0,No,3,3,25,77
hinu1240,Hinuq,Nakh-Daghestanian(EastCaucasian),42.18,45.99,3,6,1,1,0,42,6,1,12,6,0,Yes,1,2,42.4502,45.8064
hixk1239,Hixkaryana,Cariban,-1,301,2,4,0,0,0,18,5,0,5,0,0,No,2,0,-0.16265,-58.80153
hopi1249,Hopi,Uto-Aztecan,36,250,1,4,1,0,0,20,6,1,12,7,2,No,1,2,35.7653,-110.535
hual1241,HuallagaQuechua,Quechuan,-10,284,1,5,0,0,0,16,3,1,6,0,0,No,1,1,-9.57135,-75.594
huas1242,HuastecMayan,Mayan,21.62,338.38,2,5,0,1,0,21,5,1,10,,0,No,1,1,21.6153,-98.5028
hung1274,Hungarian,Uralic,47,20,2,4,0,0,1,50,7,1,14,0,0,No,1,2,46.90685857,19.65552714
hunz1247,Hunzib,Nakh-Daghestanian(EastCaucasian),42.16,46.23,3,6,0,1,0,26,8,2,24,0,3,Yes,1,1,42.0808,46.1369
hupa1239,Hupa,AET,41.1,236.33,3,4,1,1,0,28,4,1,7,0,0,,1,1,41.0982,-123.68
imba1240,ImbaburaQuechua,Quechuan,0.33,282,2,4,0,0,0,22,3,0,3,0,,No,1,1,0.31776,-78.3729
ines1240,Ineseño,Chumashan,34.67,325.33,3,5,0,1,0,38,6,0,6,0,0,,2,2,34.6169,-120.08
ingu1240,Ingush,Nakh-Daghestanian(EastCaucasian),42.97,44.77,4,6,0,1,1,39,9,2,16,4,1,No,2,3,43.11,45.03
iris1253,Irish,Indo-European,53,-8,2,3,1,0,0,16,5,1,10,4,0,No,2,2,53.2186,-7.61509
ital1282,Italian(Std.),Indo-European,43,12,2,4,0,0,1,20,7,0,7,7,0,Yes,3,0,43.0464,12.6489
itel1242,Itelmen,Chukchi-Kamchatkan,57,157.5,2,5,0,1,0,25,5,1,5,0,0,No,7,4,56.046173,156.30704
ixte1237,IxtencoOtomí,Otomanguean,19.21,340.79,2,4,0,0,0,19,8,1,12,0,3,No,4,0,19.2146,-98.0272
jams1239,Jamsay,Dogon,14.35,-3.61,2,3,0,0,0,20,7,2,21,,4,,1,1,14.1794,-2.57999
japh1234,Japhug/Jiarong,Sino-Tibetan,31.5,102,4,6,0,1,0,50,8,0,8,0,0,No,3,1,32.1,102.36
jaqa1244,Jaqaru,Jaqi(Aymaran),-13,284,3,5,0,0,0,32,3,1,6,0,,No,1,1,-12.741939,-75.809231
julu1237,Julut/Julud,Katla-Tima,11.53,29.55,3,6,0,1,0,27,11,0,11,0,0,No,2,1,11.528258,29.552753
kaba1278,Kabardian,WestCaucasian,43.3,43.3,3,9,1,1,0,49,3,0,3,0,0,No,3,2,43.5082,43.3918
kach1284,Haro,Ta-NeOmotic,6.26,37.53,4,4,0,2,1,26,5,1,10,0,1,Yes,1,2,6.3971,37.9291
kala1377,KalaLagawYa,Pama-Nyungan,-10.67,142.2,2,4,0,0,0,18,4,1,8,0,0,No,1,2,-10.6748,142.196
kama1351,Kamas,Uralic,55.07,94.83,2,4,1,0,0,,9,0,7,,0,No,1,2,55.07,94.83
kara1474,Karata,Nakh-Daghestanian(EastCaucasian),42.6,46.34,4,6,1,1,1,47,5,2,18,0,0,Yes,1,1,42.6501,46.3151
kara1500,Karajá,NuclearMacro-Jê,-11,310,1,3,0,0,0,9,13,2,17,0,0,No,1,0,-11.1881,-50.3492
karo1304,Karok,Karok(isolate),41.67,237,1,4,0,0,0,16,5,1,8,,0,No,1,1,41.8228,-123.315
kaya1319,Kayardild,Tangkic,-17.05,139.5,1,6,0,0,0,17,3,1,6,0,0,No,1,0,-17.0695,139.489
kaza1248,Kazakh,Turkic,51.17,71.45,2,3,0,0,0,20,9,0,9,0,0,No,1,1,51.17,71.454
kenu1243,Kenuzi(Kunuz),Nubian,24.09,32.9,2,4,0,0,0,16,5,1,10,0,0,No,1,1,24.09,32.9
kett1243,Ket,Yeniseian,64,87,1,4,0,0,0,12,7,0,7,0,5,No,1,2,63.7551,87.5466
khak1248,Khakas,Turkic,53,90,2,4,0,0,0,14,9,1,17,0,0,No,1,2,50.73933,107.16939
khin1240,Xinalug,Nakh-Daghestanian(EastCaucasian),41.18,48.13,4,5,1,1,1,43,9,0,9,3,,Yes,2,2,41.1801,48.0571
kild1236,KildinSaami,Uralic,67,37,5,4,1,0,1,60,7,1,13,4,0,No,1,2,68.2158,35.8348
kili1262,CilicianArmenian,Indo-European,37.2,35.9,2,4,0,0,0,,5,0,5,0,0,No,3,3,37.2,35.9
kiow1266,Kiowa,Kiowa-Tanoan,37,261,4,3,0,1,0,21,6,2,18,4,2,No,2,1,34.9403,-98.9042
klam1254,Klamath,PlateauPenutian,42.5,238.5,3,5,0,1,0,33,4,1,8,,0,No,2,4,42.5861,-121.704
koas1236,Koasati,Muskogean,34.83,274.83,1,4,0,0,0,15,3,1,6,0,3,No,1,1,30.4096,-92.709
kobo1249,Kobon,NuclearTNG,-5.17,144.33,1,4,0,0,0,19,7,0,7,2,0,No,2,1,-5.16446,144.46
komi1268,Komi,Uralic,62,50,2,5,0,0,0,26,7,0,7,0,0,No,1,2,64.0527,54.946
kore1280,Korean,Korean(isolate),37.5,128,3,4,0,0,0,19,10,1,20,,0,No,2,2,37.54,126.98
koro1312,Korowai,NuclearTNG,-5.27,140.05,3,4,0,1,0,19,7,1,14,0,0,Yes,1,1,-5.26952,140.047
koyr1240,KoyraChiiniSonghay,Songhay,17,-3,2,4,0,0,0,19,5,2,10,4,0,No,2,1,16.192,-3.73962
kron1241,Krongo,Kadugli-Krongo,10.5,30,3,5,0,2,1,24,7,1,14,,2,No,2,1,10.514,30.003
kryt1240,Kryz,Nakh-Daghestanian(EastCaucasian),41.18,48.18,3,5,3,1,0,42,4,0,4,,0,No,1,2,41.1811,48.1846
kuba1248,Kubachi,Nakh-Daghestanian(EastCaucasian),42.09,47.6,4,5,0,1,1,42,4,2,12,0,,No,1,2,42.08504,47.601843
kumi1248,DIndo-Europeangueño/Tipai,Yuman,33,243,1,5,1,0,0,21,4,1,7,8,0,No,3,2,32.331,-116.604
kuna1268,Kunama,Kunama(isolate),14.5,37,2,4,0,0,1,19,5,1,10,3,2,,1,0,14.5879,37.5292
kung1261,!Kung,Ju(NorthernKhoisan)(Glottolog:Kxa),-19.67,18,8,5,0,1,0,93,5,5,23,10,4,No,1,1,-21.92,18
kute1249,Kutenai,Kutenai(isolate),49.5,244,2,4,0,1,0,23,3,1,6,0,0,,4,3,48.7892,-115.065
kwak1269,Kwak'wala,Wakashan,50.93,309.07,3,6,1,1,0,42,4,0,4,,0,No,1,3,50.9269,-127.308
kwaz1243,Kwaza,Kwaza(isolate),-12.58,299.33,2,5,0,1,0,19,8,1,15,13,0,No,2,1,-11.6667,-61.1833
lakk1252,Lak,Nakh-Daghestanian(EastCaucasian),42.17,47.11,4,5,2,1,0,36,4,1,8,0,0,No,1,2,42.1328,47.0809
lako1247,Lakhota,Siouan,43.83,258.17,4,4,0,1,0,28,5,1,8,0,0,Yes,2,1,46.3699,-103.95
lang1324,Lango,Nilotic,2.17,33,2,4,0,0,0,16,10,0,10,,4,No,2,1,2.13867,33.0553
latv1249,Latvian,Indo-European,57,24,2,4,1,0,0,25,6,1,12,10,2,No,3,3,56.826108,24.309118
lavu1241,Lavukaleve,Lavukaleve(isolate),-9.08,159.12,1,3,0,0,0,13,5,0,5,0,0,Yes,1,1,-9.05569,159.119
lazz1240,PazarLaz,Kartvelian,41.1,40.53,3,4,1,1,0,34,5,0,5,0,0,No,3,2,41.5004,41.9096
lele1276,Lele,Chadic,9.08,15.58,4,4,0,3,0,22,5,0,5,,3,,1,1,9.158,15.81149
lezg1247,Lezgi,Nakh-Daghestanian(EastCaucasian),41.67,47.83,4,5,1,1,0,38,7,0,7,,,No,3,2,41.5157,47.8951
lith1251,Lithuanian,Indo-European,55,24,2,4,1,0,0,23,6,1,10,6,2,Yes,3,2,55.1429,23.9601
logu1236,Sardinian(Nuoresedial.),Indo-European,40.49,9.1,2,3,0,0,0,21,8,1,13,,0,Yes,2,1,40.49,9.09957
lowe1385,Sorbian(Lower),Indo-European,51.75,14.33,2,5,1,0,0,31,7,0,7,0,0,No,3,2,51.6621,13.9407
lowl1265,Rarámuri,Uto-Aztecan,26.85,252.9,3,4,0,0,0,18,5,0,5,4,3,Yes,1,0,27.3512,-108.0559
lumu1239,Lumun,NarrowTalodi,10.83,30.25,2,6,1,0,1,13,8,0,8,0,4,,1,1,10.8308,30.253
luva1239,Luvale,Atlantic-Congo,-12,22,2,4,1,1,0,22,5,1,10,0,4,No,1,0,-13.5382,22.2924
mace1250,Ma'di,CentralSudanic,3.25,31.25,4,5,1,3,0,44,9,0,9,0,3,No,1,0,41.5957,21.7932
madi1260,Maa(Maasai),Nilotic,-3,36,3,4,0,2,0,25,9,1,9,7,3,,1,1,3.62499,31.8471
maib1239,Maybrat,Maybrat-Karon,-1.33,132.5,1,3,0,0,0,11,5,0,5,0,0,Yes,2,1,-1.3679,132.591
male1284,Macedonian,Indo-European,41.67,21.75,2,5,0,0,0,26,5,0,5,0,0,No,3,2,5.91975,36.9892
malt1254,Maltese,Semitic,35.89,14.45,2,4,0,0,1,23,6,1,11,,0,No,3,3,35.8884,14.4508
manc1252,Manchu,Tungusic,49.5,128,2,4,0,0,0,19,7,0,7,0,,,1,1,47.31225,126.55713
mand1415,Mandarin,Sino-Tibetan,35,110,2,5,0,0,0,23,5,0,5,0,4,No,1,1,40.0209,116.228
